Facility,Fans,Cooling,InteriorLights,InteriorEquipment,day_of_week,month
0.20314596298774745,0.8847864673565111,0.9242704850499821,0.3102511819701452,0.747229813487943,0.5,0.0
0.8693893137309687,0.8876682011176108,0.9023640589603773,1.0,0.9999999999999999,0.6666666666666666,0.0
0.8942075152456552,0.9033392667012986,0.8903466813963793,1.0,0.9999999999999999,0.8333333333333333,0.0
0.9071956552970621,0.918505979581598,0.8797579548225252,1.0,0.9999999999999999,1.0,0.0
0.8870296653329652,0.9265146881121815,0.8835197046115805,1.0,0.9999999999999999,0.0,0.0
0.8791707200051708,0.925536737356152,0.9241166329316081,1.0,0.9999999999999999,0.16666666666666666,0.0
0.3774791174409584,0.8876970775803148,0.9595692070675603,0.540167454734786,0.836643779384807,0.3333333333333333,0.0
0.24165163321375216,0.8847864673565111,0.8960328441793148,0.3102511819701452,0.747229813487943,0.5,0.0
0.9227934279104404,0.8981726944720273,0.8523715990932286,1.0,0.9999999999999999,0.6666666666666666,0.0
0.924859657266321,0.917488238880558,0.9114283721972842,1.0,0.9999999999999999,0.8333333333333333,0.0
0.8756347575830392,0.9232849193200302,0.9367341170402764,1.0,0.9999999999999999,1.0,0.0
0.8420212235812374,0.9266376265737095,0.9716619135659648,1.0,0.9999999999999999,0.0,0.0
0.8322168524476625,0.9232093799804393,0.9634789078135854,1.0,0.9999999999999999,0.16666666666666666,0.0
0.39230928082796535,0.8877834647226405,0.9480244352237949,0.540167454734786,0.836643779384807,0.3333333333333333,0.0
0.1771566124659274,0.8847864673565111,0.9610577164067701,0.3102511819701452,0.747229813487943,0.5,0.0
0.20733106619034114,0.8847864673565111,0.9821235990430022,0.3102511819701452,0.747229813487943,0.6666666666666666,0.0
0.8428216947428084,0.8897164899997659,0.9743071500148095,1.0,0.9999999999999999,0.8333333333333333,0.0
0.806538005536833,0.9022013534391902,0.9370126683618586,1.0,0.9999999999999999,1.0,0.0
0.7671963956074301,0.9129626518794286,0.9008165809772978,1.0,0.9999999999999999,0.0,0.0
0.8294090719123743,0.9155359027529095,0.9515953172835866,1.0,0.9999999999999999,0.16666666666666666,0.0
0.41974795991726754,0.8880856643738396,0.990427004042135,0.540167454734786,0.836643779384807,0.3333333333333333,0.0
0.1894299774971664,0.8847864673565111,0.9629129992897991,0.3102511819701452,0.747229813487943,0.5,0.0
0.8379244470089509,0.892262649379494,0.9682102221572862,1.0,0.9999999999999999,0.6666666666666666,0.0
0.8772475694219906,0.9074756199123003,0.9045027440489349,1.0,0.9999999999999999,0.8333333333333333,0.0
0.8601823013973329,0.9118080557875121,0.9321612274389505,1.0,0.9999999999999999,1.0,0.0
0.8202107313545492,0.9131458887778008,0.94651558830386,1.0,0.9999999999999999,0.0,0.0
0.8622340426833621,0.9211946226507287,0.9160147786390468,1.0,0.9999999999999999,0.16666666666666666,0.0
0.4144170075079576,0.8887115027197419,0.9026313734478066,0.540167454734786,0.836643779384807,0.3333333333333333,0.0
0.18666066714048313,0.8847864673565111,0.8870734551051725,0.3102511819701452,0.747229813487943,0.5,0.0
0.8659265664076305,0.8946331816570516,0.9244406577319286,1.0,0.9999999999999999,0.6666666666666666,0.0
0.8444675362952743,0.9081136152810211,0.9638807364611514,1.0,0.9999999999999999,0.8333333333333333,0.0
0.8325084084790619,0.9193616667036464,0.9309606135228954,1.0,0.9999999999999999,1.0,0.09090909090909091
0.8397862451067568,0.9249088316154972,0.9203660486736048,1.0,0.9999999999999999,0.0,0.09090909090909091
0.8560308833468144,0.925664865888115,0.9477860214418985,1.0,0.9999999999999999,0.16666666666666666,0.09090909090909091
0.3856571103483626,0.8878280455971717,0.9643647550429859,0.540167454734786,0.836643779384807,0.3333333333333333,0.09090909090909091
0.17524191758860042,0.8847864673565111,0.942563983533049,0.3102511819701452,0.747229813487943,0.5,0.09090909090909091
0.8503822760848321,0.892341687185373,0.9619697064895636,1.0,0.9999999999999999,0.6666666666666666,0.09090909090909091
0.812855992596345,0.9048386333346227,0.9415906763217342,1.0,0.9999999999999999,0.8333333333333333,0.09090909090909091
0.8086810754036913,0.9133014379663622,0.9369418089629762,1.0,0.9999999999999999,1.0,0.09090909090909091
0.862210066272219,0.9147962724906636,0.9455570026386705,1.0,0.9999999999999999,0.0,0.09090909090909091
